DB Name,Ingame Name Clarification,Un,IMG,"Vision Info"
Mystery_CarSCS_1234,Placeholder Mystery car SCS,T1,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/4.Unspecified/Placeholder%20Mystery/Mystery%20Car%20(PorscheSalzburgRacingDesign).jpg,"Added to the game as a Placeholder for mystery cars during Supercar Science."
Mystery_Car_1234,Placeholder Mystery car,T1,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/4.Unspecified/Placeholder%20Mystery/Mystery%20Car%20SCS%20(PorscheSalzburgRacingDesign).jpg,"Added to the game as a Placeholder for mystery cars."
Abarth_500_2014,Abarth 500,T1,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Abarth/Abarth%20500/Abarth%20500%20(CountrypolitanYellowThree-Layer).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016."
Ford_F150SVTRaptorElite_2014,Altay's Ford F-150 SVT Raptor,T1,https://raw.githubusercontent.com/Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Ford/%23Altay's%20Ford%20F-150%20SVT%20Raptor/Altay's%20Ford%20F-150%20SVT%20Raptor%20(TuxedoBlack).jpg,"Added to CSR Racing 2 around May, 2016 - June, 2016 as a future Elite License Boss car and yet to be released."
Ford_FiestaST_2016,Ford Fiesta ST,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Ford/Ford%20Fiesta%20ST/Ford%20Fiesta%20ST%20(KonaBlue).jpg,"It was added in CSR Racing 2 around May, 2016 - June, 2016. Initially the car was the Dodge Mopar, a reused model from CSR Racing 1, but later on swapped with the current model, the Ford Fiesta ST."
Ford_FocusSTCrewRecycled_2014,Ford Focus TrackSTer,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Ford/Ford%20Focus%20TrackSTer/Ford%20Focus%20TrackSTer%20(OxfordWhite).jpg,"Added into the game in Update 1.19.0 and released in Season 49 (May 3, 2018 - May 17, 2018) as a pullable gold starred version of the Tempe5t 3 Boss car."
Ford_FocusSTCrew_2014,Sneak's Ford Focus TrackSTer,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/2.Purple%20Star/Ford/%23Sneak's%20Ford%20Focus%20TrackSTer/Sneak's%20Ford%20Focus%20TrackSTer%20(CrewCherryBomb).jpg,"Added into the game in Update 1.19.0 and released in Season 49 (May 3, 2018 - May 17, 2018) as a winnable Tempe5t 3 Boss car."
Ford_Mustang302_1970,Ford Mustang Boss 302 (E.C. Level 0),T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Ford/Ford%20Mustang%20Boss%20302/Ford%20Mustang%20Boss%20302%20(BrightGold).jpg,"Added into the game in Update 1.23 and released in Season 62 (November 1, 2018 - November 15, 2018) as a part of the Legends campaign."
Ford_Mustang302_1970_EC,Ford Mustang Boss 302 (E.C. Level 50),T1,https://raw.githubusercontent.com/Nitro4CSR/ProjectMedia/main/ET-EC%20Specs%20Shots/2023-01-11_22.png,"The car was added into the Elite Customs feature, in Update 2.10 and introduced in Season 96 (February 20, 2020 - March 5, 2020) as a part of the Elite Customs: Legends V.1 car collection."
Honda_Civic15VTECCrewRecycled_1994,Honda Civic 1.5 VTEC,T1,https://raw.githubusercontent.com//Nitro4CSR/CSR2-Specs-Catalog/main/1.Gold%20Star/Honda/Honda%20Civic%201.5%20VTEC/Honda%20Civic%201.5%20VTEC%20(BrilliantSportyBlue).jpg,"Added into the game in Update 1.8.0 and released in Season 10 (November 3, 2016 - November 17, 2016) as a pullable gold starred version of the Tempe5t 1 Boss car."
